"record_type,id,timestamp,direction,from,to,phone_hash,contact_name,message,media_filename,gps_lat,gps_lon,app,app_event,device_id,imei,notes"
"call,CA0017,2025-07-10 09:11:00,outgoing,+33600000001,+33699999999,hash_14i9,Marine,,,,,phone,call_out,DEV123,IMEI0001,durée 00:08:26"
"call,CA0020,2025-07-10 09:30:00,incoming,+33722222222,+33600000001,hash_18m3,Livraison,,,,,phone,call_in,DEV123,IMEI0001,durée 00:00:46"
"call,CA0021,2025-07-10 09:32:00,outgoing,+33600000001,+33677777777,hash_12g7,Administratif,,,,,phone,call_out,DEV123,IMEI0001,durée 00:10:39"
"call,CA0027,2025-07-10 09:56:00,incoming,+33633333333,+33600000001,hash_08c3,Maman,,,,,phone,call_in,DEV123,IMEI0001,durée 00:10:44"
"call,CA0031,2025-07-10 10:26:00,incoming,+33633333333,+33600000001,hash_08c3,Maman,,,,,phone,call_in,DEV123,IMEI0001,manqué"
"call,CA0034,2025-07-10 10:45:00,incoming,+33699999999,+33600000001,hash_14i9,Marine,,,,,phone,call_in,DEV123,IMEI0001,manqué"
"call,CA0037,2025-07-10 11:00:00,incoming,+33688888888,+33600000001,hash_13h8,Samir,,,,,phone,call_in,DEV123,IMEI0001,durée 00:08:55"
"call,CA0040,2025-07-10 11:05:00,incoming,+33722222222,+33600000001,hash_18m3,Livraison,,,,,phone,call_in,DEV123,IMEI0001,durée 00:10:32"
"call,CA0045,2025-07-10 11:38:00,incoming,+33633333333,+33600000001,hash_08c3,Maman,,,,,phone,call_in,DEV123,IMEI0001,durée 00:09:27"
"call,CA0052,2025-07-10 12:14:00,incoming,+33711111111,+33600000001,hash_16k1,ServiceClient,,,,,phone,call_in,DEV123,IMEI0001,durée 00:01:42"
"call,CA0053,2025-07-10 12:21:00,incoming,+33677777777,+33600000001,hash_12g7,Administratif,,,,,phone,call_in,DEV123,IMEI0001,durée 00:00:43"
"call,CA0057,2025-07-10 12:35:00,incoming,+33688888888,+33600000001,hash_13h8,Samir,,,,,phone,call_in,DEV123,IMEI0001,manqué"
"call,CA0066,2025-07-10 13:29:00,incoming,+33612121212,+33600000001,hash_17l2,Thomas,,,,,phone,call_in,DEV123,IMEI0001,durée 00:04:13"
"call,CA0068,2025-07-10 13:40:00,incoming,+33688888888,+33600000001,hash_13h8,Samir,,,,,phone,call_in,DEV123,IMEI0001,durée 00:01:00"
"call,CA0069,2025-07-10 13:50:00,outgoing,+33600000001,+33622222222,hash_07b2,Paul Martin,,,,,phone,call_out,DEV123,IMEI0001,durée 00:08:16"
"call,CA0076,2025-07-10 14:28:00,outgoing,+33600000001,+33722222222,hash_18m3,Livraison,,,,,phone,call_out,DEV123,IMEI0001,manqué"
"call,CA0077,2025-07-10 14:33:00,outgoing,+33600000001,+33611111111,hash_06a1,Emma Dupont,,,,,phone,call_out,DEV123,IMEI0001,durée 00:02:40"
"call,CA0082,2025-07-10 14:59:00,incoming,+33722222222,+33600000001,hash_18m3,Livraison,,,,,phone,call_in,DEV123,IMEI0001,durée 00:02:59"
"call,CA0088,2025-07-10 15:28:00,outgoing,+33600000001,+33666666666,hash_11f6,Sophie,,,,,phone,call_out,DEV123,IMEI0001,manqué"
"call,CA0091,2025-07-10 15:47:00,incoming,+33644444444,+33600000001,hash_09d4,Benjamin,,,,,phone,call_in,DEV123,IMEI0001,manqué"
"call,CA0092,2025-07-10 15:56:00,incoming,+33711111111,+33600000001,hash_16k1,ServiceClient,,,,,phone,call_in,DEV123,IMEI0001,durée 00:10:12"
"call,CA0093,2025-07-10 15:58:00,incoming,+33733333333,+33600000001,hash_19n4,Lucas,,,,,phone,call_in,DEV123,IMEI0001,durée 00:10:54"
"call,CA0095,2025-07-10 16:08:00,outgoing,+33600000001,+33699999999,hash_14i9,Marine,,,,,phone,call_out,DEV123,IMEI0001,durée 00:10:24"
"call,CA0097,2025-07-10 16:12:00,incoming,+33655555555,+33600000001,hash_10e5,Laura,,,,,phone,call_in,DEV123,IMEI0001,durée 00:09:38"
"call,CA0103,2025-07-10 16:49:00,incoming,+33644444444,+33600000001,hash_09d4,Benjamin,,,,,phone,call_in,DEV123,IMEI0001,durée 00:07:25"
"call,CA0110,2025-07-10 17:28:00,incoming,+33644444444,+33600000001,hash_09d4,Benjamin,,,,,phone,call_in,DEV123,IMEI0001,durée 00:08:05"
"call,CA0112,2025-07-10 17:38:00,incoming,+33699999999,+33600000001,hash_14i9,Marine,,,,,phone,call_in,DEV123,IMEI0001,durée 00:03:53"
"call,CA0113,2025-07-10 17:48:00,outgoing,+33600000001,+33700000000,hash_15j0,AgenceVoyage,,,,,phone,call_out,DEV123,IMEI0001,durée 00:09:24"
"call,CA0114,2025-07-10 17:54:00,incoming,+33655555555,+33600000001,hash_10e5,Laura,,,,,phone,call_in,DEV123,IMEI0001,durée 00:06:34"
