"record_type,id,timestamp,direction,from,to,phone_hash,contact_name,message,media_filename,gps_lat,gps_lon,app,app_event,device_id,imei,notes"
"contact,C001,2025-07-10 08:00:00,,,,hash_06a1,Emma Dupont,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C002,2025-07-10 08:02:00,,,,hash_07b2,Paul Martin,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C003,2025-07-10 08:04:00,,,,hash_08c3,Maman,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C004,2025-07-10 08:06:00,,,,hash_09d4,Dealeur,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C005,2025-07-10 08:08:00,,,,hash_10e5,Laura,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C006,2025-07-10 08:10:00,,,,hash_11f6,Sophie,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C007,2025-07-10 08:12:00,,,,hash_12g7,Administratif,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C008,2025-07-10 08:14:00,,,,hash_13h8,Samir,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C009,2025-07-10 08:16:00,,,,hash_14i9,Marine,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C010,2025-07-10 08:18:00,,,,hash_17l2,Thomas,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C011,2025-07-10 08:20:00,,,,hash_19n4,Lucas,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C012,2025-07-10 08:22:00,,,,hash_15j0,AgenceVoyage,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C013,2025-07-10 08:24:00,,,,hash_16k1,ServiceClient,,,,,contacts,created,DEV123,IMEI0001,"
"contact,C014,2025-07-10 08:26:00,,,,hash_18m3,Livraison,,,,,contacts,created,DEV123,IMEI0001,"
"contact,CO0023,2025-07-10 09:42:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0035,2025-07-10 10:47:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0049,2025-07-10 11:57:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0072,2025-07-10 14:14:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0164,2025-07-10 22:31:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0189,2025-07-11 01:12:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0207,2025-07-11 02:52:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0251,2025-07-11 06:57:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0253,2025-07-11 07:05:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0261,2025-07-11 07:50:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0278,2025-07-11 09:06:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0297,2025-07-11 10:50:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0343,2025-07-11 14:42:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0401,2025-07-11 20:08:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0410,2025-07-11 20:51:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0425,2025-07-11 22:11:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0452,2025-07-12 00:42:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0459,2025-07-12 01:30:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0461,2025-07-12 01:43:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0464,2025-07-12 01:57:00,,,,,,,,,,,,DEV123,IMEI0001,"
"contact,CO0475,2025-07-12 02:47:00,,,,,,,,,,,,DEV123,IMEI0001,"
