record_type,id,timestamp,direction,from,to,phone_hash,contact_name,message,media_filename,gps_lat,gps_lon,app,app_event,device_id,imei,notes
contact,C001,2025-07-10 08:00:00,,,,hash_06a1,Emma Dupont,,,,,contacts,created,DEV123,IMEI0001,
contact,C002,2025-07-10 08:02:00,,,,hash_07b2,Paul Martin,,,,,contacts,created,DEV123,IMEI0001,
contact,C003,2025-07-10 08:04:00,,,,hash_08c3,Maman,,,,,contacts,created,DEV123,IMEI0001,
contact,C004,2025-07-10 08:06:00,,,,hash_09d4,Benjamin,,,,,contacts,created,DEV123,IMEI0001,
contact,C005,2025-07-10 08:08:00,,,,hash_10e5,Laura,,,,,contacts,created,DEV123,IMEI0001,
contact,C006,2025-07-10 08:10:00,,,,hash_11f6,Sophie,,,,,contacts,created,DEV123,IMEI0001,
contact,C007,2025-07-10 08:12:00,,,,hash_12g7,Administratif,,,,,contacts,created,DEV123,IMEI0001,
contact,C008,2025-07-10 08:14:00,,,,hash_13h8,Samir,,,,,contacts,created,DEV123,IMEI0001,
contact,C009,2025-07-10 08:16:00,,,,hash_14i9,Marine,,,,,contacts,created,DEV123,IMEI0001,
contact,C010,2025-07-10 08:18:00,,,,hash_17l2,Thomas,,,,,contacts,created,DEV123,IMEI0001,
contact,C011,2025-07-10 08:20:00,,,,hash_19n4,Lucas,,,,,contacts,created,DEV123,IMEI0001,
contact,C012,2025-07-10 08:22:00,,,,hash_15j0,AgenceVoyage,,,,,contacts,created,DEV123,IMEI0001,
contact,C013,2025-07-10 08:24:00,,,,hash_16k1,ServiceClient,,,,,contacts,created,DEV123,IMEI0001,
contact,C014,2025-07-10 08:26:00,,,,hash_18m3,Livraison,,,,,contacts,created,DEV123,IMEI0001,
contact,C015,2025-07-10 08:28:00,,,,hash_21p6,Clara,,,,,contacts,created,DEV123,IMEI0001,
contact,C016,2025-07-10 08:30:00,,,,hash_22q7,Nicolas,,,,,contacts,created,DEV123,IMEI0001,
contact,C017,2025-07-10 08:32:00,,,,hash_23r8,Isabelle,,,,,contacts,created,DEV123,IMEI0001,
contact,C018,2025-07-10 08:34:00,,,,hash_24s9,Marc,,,,,contacts,created,DEV123,IMEI0001,
contact,C019,2025-07-10 08:36:00,,,,hash_25t0,Julie,,,,,contacts,created,DEV123,IMEI0001,
contact,C020,2025-07-10 08:38:00,,,,hash_26u1,Alex,,,,,contacts,created,DEV123,IMEI0001,
contact,C021,2025-07-10 08:40:00,,,,hash_27v2,Hugo,,,,,contacts,created,DEV123,IMEI0001,
contact,C022,2025-07-10 08:42:00,,,,hash_28w3,Ines,,,,,contacts,created,DEV123,IMEI0001,
contact,C023,2025-07-10 08:44:00,,,,hash_29x4,Olivia,,,,,contacts,created,DEV123,IMEI0001,
contact,C024,2025-07-10 08:46:00,,,,hash_30y5,Yann,,,,,contacts,created,DEV123,IMEI0001,
contact,C025,2025-07-10 08:48:00,,,,hash_31z6,AgenceImmo,,,,,contacts,created,DEV123,IMEI0001,
sms,SM00026,2025-07-10 10:00:00,incoming,+33612121212,+33600000001,hash_17l2,Thomas,"Bonne nuit, a demain.",,,,sms,received,DEV123,IMEI0001,
sms,SM00027,2025-07-10 10:03:00,incoming,+33666666666,+33600000001,hash_11f6,Taha,je te déteste viens on se tappe,,,,sms,received,DEV123,IMEI0001,
sms,SM00029,2025-07-10 10:10:00,outgoing,+33600000001,+33722222222,hash_18m3,Livraison,Quel est le plan pour ce weekend ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00030,2025-07-10 10:11:00,outgoing,+33600000001,+33622223333,hash_30y5,Yann,"Bonne nuit, a demain.",,,,sms,sent,DEV123,IMEI0001,
location,LO00032,2025-07-10 10:13:00,,,,,,,,48.840334,2.359834,location_service,fix,DEV123,IMEI0001,promenade
