record_type,id,timestamp,direction,from,to,phone_hash,contact_name,message,media_filename,gps_lat,gps_lon,app,app_event,device_id,imei,notes
location,LO00032,2025-07-10 10:13:00,,,,,,,,48.840334,2.359834,location_service,fix,DEV123,IMEI0001,promenade
browser,BR00033,2025-07-10 10:14:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,lecture article
location,LO00034,2025-07-10 10:14:00,,,,,,,,48.884277,2.354685,location_service,fix,DEV123,IMEI0001,arret
browser,BR00036,2025-07-10 10:19:00,,,,,,https://www.example.com/article-cafe-paris,,,,browser,visit,DEV123,IMEI0001,recherche
location,LO00047,2025-07-10 10:48:00,,,,,,,,48.881763,2.376029,location_service,fix,DEV123,IMEI0001,position stable
app_event,AP00051,2025-07-10 10:56:00,,,,,,notes://open?id=note_1,,,,fitness,open_note,DEV123,IMEI0001,
browser,BR00061,2025-07-10 11:19:00,,,,,,https://www.example.com/article-cafe-paris,,,,browser,visit,DEV123,IMEI0001,lecture article
app_event,AP00063,2025-07-10 11:25:00,,,,,,notes://open?id=note_1,,,,spotify,login,DEV123,IMEI0001,
browser,BR00075,2025-07-10 11:45:00,,,,,,https://www.example.com/cinema/horaires,,,,browser,visit,DEV123,IMEI0001,lecture article
browser,BR00079,2025-07-10 11:52:00,,,,,,https://www.example.com/transport/metro,,,,browser,visit,DEV123,IMEI0001,recherche
app_event,AP00080,2025-07-10 11:53:00,,,,,,system://update?check=1,,,,whatsapp,event_created,DEV123,IMEI0001,
location,LO00084,2025-07-10 12:03:00,,,,,,,,48.852457,2.347036,location_service,fix,DEV123,IMEI0001,position stable
app_event,AP00090,2025-07-10 12:23:00,,,,,,spotify://track/12345,,,,whatsapp,fitness_start,DEV123,IMEI0001,
location,LO00098,2025-07-10 12:46:00,,,,,,,,48.847933,2.34532,location_service,fix,DEV123,IMEI0001,position stable
location,LO00099,2025-07-10 12:46:00,,,,,,,,48.853318,2.338883,location_service,fix,DEV123,IMEI0001,arret
location,LO00100,2025-07-10 12:49:00,,,,,,,,48.844635,2.343386,location_service,fix,DEV123,IMEI0001,position stable
location,LO00101,2025-07-10 12:50:00,,,,,,,,48.889514,2.320438,location_service,fix,DEV123,IMEI0001,arret
app_event,AP00103,2025-07-10 12:53:00,,,,,,"uber://request?to=48.8566,2.3522",,,,voice_recorder,route_requested,DEV123,IMEI0001,
browser,BR00107,2025-07-10 13:00:00,,,,,,https://www.example.com/cinema/horaires,,,,browser,visit,DEV123,IMEI0001,recherche
location,LO00108,2025-07-10 13:03:00,,,,,,,,48.877755,2.333845,location_service,fix,DEV123,IMEI0001,arret
browser,BR00110,2025-07-10 13:11:00,,,,,,https://www.example.com/transport/metro,,,,browser,visit,DEV123,IMEI0001,recherche
browser,BR00122,2025-07-10 13:37:00,,,,,,https://www.example.com/article-cafe-paris,,,,browser,visit,DEV123,IMEI0001,horaires
location,LO00126,2025-07-10 13:52:00,,,,,,,,48.847798,2.324312,location_service,fix,DEV123,IMEI0001,trajet
location,LO00130,2025-07-10 14:02:00,,,,,,,,48.84123,2.328803,location_service,fix,DEV123,IMEI0001,trajet
app_event,AP00134,2025-07-10 14:14:00,,,,,,calendar://event?id=meet_18h,,,,voice_recorder,forecast_view,DEV123,IMEI0001,
location,LO00140,2025-07-10 14:36:00,,,,,,,,48.888054,2.364402,location_service,fix,DEV123,IMEI0001,trajet
location,LO00152,2025-07-10 14:59:00,,,,,,,,48.875185,2.333514,location_service,fix,DEV123,IMEI0001,position stable
location,LO00158,2025-07-10 15:07:00,,,,,,,,48.869439,2.345248,location_service,fix,DEV123,IMEI0001,trajet
location,LO00160,2025-07-10 15:15:00,,,,,,,,48.886657,2.374408,location_service,fix,DEV123,IMEI0001,trajet
location,LO00162,2025-07-10 15:22:00,,,,,,,,48.845197,2.365664,location_service,fix,DEV123,IMEI0001,arret
browser,BR00164,2025-07-10 15:26:00,,,,,,https://www.example.com/cinema/horaires,,,,browser,visit,DEV123,IMEI0001,lecture article
browser,BR00167,2025-07-10 15:37:00,,,,,,https://www.example.com/cinema/horaires,,,,browser,visit,DEV123,IMEI0001,lecture article
location,LO00171,2025-07-10 15:52:00,,,,,,,,48.850201,2.333395,location_service,fix,DEV123,IMEI0001,promenade
browser,BR00172,2025-07-10 15:55:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,recherche
browser,BR00173,2025-07-10 15:59:00,,,,,,https://www.example.com/article-cafe-paris,,,,browser,visit,DEV123,IMEI0001,lecture article
location,LO00174,2025-07-10 16:04:00,,,,,,,,48.874131,2.346265,location_service,fix,DEV123,IMEI0001,position stable
location,LO00178,2025-07-10 16:20:00,,,,,,,,48.85588,2.340479,location_service,fix,DEV123,IMEI0001,promenade
browser,BR00179,2025-07-10 16:23:00,,,,,,https://www.example.com/article-cafe-paris,,,,browser,visit,DEV123,IMEI0001,horaires
browser,BR00181,2025-07-10 16:32:00,,,,,,https://www.example.com/cinema/horaires,,,,browser,visit,DEV123,IMEI0001,horaires
browser,BR00185,2025-07-10 16:45:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,horaires
browser,BR00190,2025-07-10 16:56:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,recherche
location,LO00192,2025-07-10 16:56:00,,,,,,,,48.877454,2.356522,location_service,fix,DEV123,IMEI0001,promenade
location,LO00195,2025-07-10 17:10:00,,,,,,,,48.843523,2.353914,location_service,fix,DEV123,IMEI0001,trajet
app_event,AP00200,2025-07-10 17:28:00,,,,,,system://update?check=1,,,,notes,open_note,DEV123,IMEI0001,
location,LO00201,2025-07-10 17:30:00,,,,,,,,48.886143,2.345784,location_service,fix,DEV123,IMEI0001,promenade
location,LO00204,2025-07-10 17:36:00,,,,,,,,48.8406,2.338782,location_service,fix,DEV123,IMEI0001,trajet
browser,BR00209,2025-07-10 17:48:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,recherche
app_event,AP00212,2025-07-10 17:58:00,,,,,,,,,,voice_recorder,reminder_set,DEV123,IMEI0001,
location,LO00214,2025-07-10 18:02:00,,,,,,,,48.847495,2.342172,location_service,fix,DEV123,IMEI0001,arret
location,LO00215,2025-07-10 18:07:00,,,,,,,,48.879419,2.321488,location_service,fix,DEV123,IMEI0001,trajet
browser,BR00222,2025-07-10 18:22:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,lecture article
browser,BR00224,2025-07-10 18:25:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,lecture article
location,LO00227,2025-07-10 18:35:00,,,,,,,,48.853504,2.361255,location_service,fix,DEV123,IMEI0001,arret
media,ME00229,2025-07-10 18:42:00,,,,,,,VOICEMSG_20250710_000228.amr,,,voice_recorder,voice_saved,DEV123,IMEI0001,memos vocal
app_event,AP00234,2025-07-10 18:47:00,,,,,,system://update?check=1,,,,whatsapp,route_requested,DEV123,IMEI0001,
location,LO00235,2025-07-10 18:48:00,,,,,,,,48.861123,2.332086,location_service,fix,DEV123,IMEI0001,arret
browser,BR00236,2025-07-10 18:52:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,recherche
app_event,AP00238,2025-07-10 18:57:00,,,,,,"uber://request?to=48.8566,2.3522",,,,location_service,open,DEV123,IMEI0001,
media,ME00239,2025-07-10 18:59:00,,,,,,,VOICEMSG_20250710_000238.amr,,,voice_recorder,voice_saved,DEV123,IMEI0001,note perso
browser,BR00241,2025-07-10 19:05:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,lecture article
browser,BR00246,2025-07-10 19:17:00,,,,,,https://www.example.com/restaurant/reservation,,,,browser,visit,DEV123,IMEI0001,lecture article
browser,BR00250,2025-07-10 19:24:00,,,,,,https://www.example.com/article-cafe-paris,,,,browser,visit,DEV123,IMEI0001,lecture article
app_event,AP00251,2025-07-10 19:28:00,,,,,,,,,,gallery,login,DEV123,IMEI0001,
location,LO00256,2025-07-10 19:36:00,,,,,,,,48.840062,2.335072,location_service,fix,DEV123,IMEI0001,trajet
