record_type,id,timestamp,direction,from,to,phone_hash,contact_name,message,media_filename,gps_lat,gps_lon,app,app_event,device_id,imei,notes
call,CA00038,2025-07-10 10:27:00,outgoing,+33600000001,+33655555555,hash_10e5,Laura,,,,,phone,call_out,DEV123,IMEI0001,durée 00:09:55
call,CA00042,2025-07-10 10:34:00,outgoing,+33600000001,+33614141414,hash_22q7,Nicolas,,,,,phone,call_out,DEV123,IMEI0001,manque
call,CA00043,2025-07-10 10:38:00,outgoing,+33600000001,+33722222222,hash_18m3,Livraison,,,,,phone,call_out,DEV123,IMEI0001,durée 00:03:35
call,CA00053,2025-07-10 11:00:00,outgoing,+33600000001,+33677777777,hash_12g7,Administratif,,,,,phone,call_out,DEV123,IMEI0001,durée 00:07:21
call,CA00054,2025-07-10 11:01:00,outgoing,+33600000001,+33616161616,hash_24s9,Marc,,,,,phone,call_out,DEV123,IMEI0001,durée 00:13:02
call,CA00056,2025-07-10 11:05:00,incoming,+33655555555,+33600000001,hash_10e5,Laura,,,,,phone,call_in,DEV123,IMEI0001,durée 00:20:02
call,CA00059,2025-07-10 11:14:00,outgoing,+33600000001,+33613131313,hash_21p6,Clara,,,,,phone,call_out,DEV123,IMEI0001,durée 00:04:58
call,CA00062,2025-07-10 11:20:00,incoming,+33711111111,+33600000001,hash_16k1,ServiceClient,,,,,phone,call_in,DEV123,IMEI0001,durée 00:11:13
call,CA00069,2025-07-10 11:31:00,incoming,+33666666666,+33600000001,hash_11f6,Sophie,,,,,phone,call_in,DEV123,IMEI0001,manque
call,CA00076,2025-07-10 11:48:00,outgoing,+33600000001,+33644444444,hash_09d4,Benjamin,,,,,phone,call_out,DEV123,IMEI0001,durée 00:01:03
call,CA00078,2025-07-10 11:49:00,outgoing,+33600000001,+33722222222,hash_18m3,Livraison,,,,,phone,call_out,DEV123,IMEI0001,durée 00:10:47
call,CA00085,2025-07-10 12:07:00,incoming,+33616161616,+33600000001,hash_24s9,Marc,,,,,phone,call_in,DEV123,IMEI0001,durée 00:15:43
call,CA00094,2025-07-10 12:32:00,outgoing,+33600000001,+33733333333,hash_19n4,Lucas,,,,,phone,call_out,DEV123,IMEI0001,durée 00:19:39
call,CA00097,2025-07-10 12:41:00,incoming,+33615151515,+33600000001,hash_23r8,Isabelle,,,,,phone,call_in,DEV123,IMEI0001,durée 00:15:54
call,CA00104,2025-07-10 12:55:00,outgoing,+33600000001,+33722222222,hash_18m3,Livraison,,,,,phone,call_out,DEV123,IMEI0001,durée 00:19:55
call,CA00120,2025-07-10 13:34:00,outgoing,+33600000001,+33615151515,hash_23r8,Isabelle,,,,,phone,call_out,DEV123,IMEI0001,durée 00:06:54
call,CA00133,2025-07-10 14:14:00,incoming,+33621212121,+33600000001,hash_29x4,Olivia,,,,,phone,call_in,DEV123,IMEI0001,durée 00:12:06
call,CA00143,2025-07-10 14:45:00,outgoing,+33600000001,+33617171717,hash_25t0,Julie,,,,,phone,call_out,DEV123,IMEI0001,durée 00:16:12
call,CA00149,2025-07-10 14:50:00,incoming,+33612121212,+33600000001,hash_17l2,Thomas,,,,,phone,call_in,DEV123,IMEI0001,durée 00:02:24
call,CA00151,2025-07-10 14:57:00,outgoing,+33600000001,+33711111111,hash_16k1,ServiceClient,,,,,phone,call_out,DEV123,IMEI0001,durée 00:04:27
call,CA00156,2025-07-10 15:05:00,incoming,+33688888888,+33600000001,hash_13h8,Samir,,,,,phone,call_in,DEV123,IMEI0001,durée 00:04:07
call,CA00159,2025-07-10 15:10:00,incoming,+33699999999,+33600000001,hash_14i9,Marine,,,,,phone,call_in,DEV123,IMEI0001,manque
call,CA00166,2025-07-10 15:34:00,incoming,+33733333333,+33600000001,hash_19n4,Lucas,,,,,phone,call_in,DEV123,IMEI0001,manque
call,CA00176,2025-07-10 16:14:00,outgoing,+33600000001,+33611111111,hash_06a1,Emma Dupont,,,,,phone,call_out,DEV123,IMEI0001,durée 00:09:43
call,CA00197,2025-07-10 17:17:00,incoming,+33677777777,+33600000001,hash_12g7,Administratif,,,,,phone,call_in,DEV123,IMEI0001,durée 00:13:37
call,CA00205,2025-07-10 17:38:00,outgoing,+33600000001,+33733333333,hash_19n4,Lucas,,,,,phone,call_out,DEV123,IMEI0001,durée 00:00:51
call,CA00219,2025-07-10 18:14:00,outgoing,+33600000001,+33615151515,hash_23r8,Isabelle,,,,,phone,call_out,DEV123,IMEI0001,durée 00:09:53
call,CA00221,2025-07-10 18:18:00,outgoing,+33600000001,+33722222222,hash_18m3,Livraison,,,,,phone,call_out,DEV123,IMEI0001,durée 00:17:44
call,CA00225,2025-07-10 18:26:00,incoming,+33622222222,+33600000001,hash_07b2,Paul Martin,,,,,phone,call_in,DEV123,IMEI0001,durée 00:05:38
call,CA00243,2025-07-10 19:09:00,incoming,+33711111111,+33600000001,hash_16k1,ServiceClient,,,,,phone,call_in,DEV123,IMEI0001,durée 00:18:10
call,CA00247,2025-07-10 19:17:00,incoming,+33614141414,+33600000001,hash_22q7,Nicolas,,,,,phone,call_in,DEV123,IMEI0001,manque
call,CA00255,2025-07-10 19:36:00,incoming,+33633333333,+33600000001,hash_08c3,Maman,,,,,phone,call_in,DEV123,IMEI0001,durée 00:10:25
