record_type,id,timestamp,direction,from,to,phone_hash,contact_name,message,media_filename,gps_lat,gps_lon,app,app_event,device_id,imei,notes
sms,SM00026,2025-07-10 10:00:00,incoming,+33612121212,+33600000001,hash_17l2,Thomas,"Bonne nuit, a demain.",,,,sms,received,DEV123,IMEI0001,
sms,SM00027,2025-07-10 10:03:00,incoming,+33666666666,+33600000001,hash_11f6,Taha,je te déteste viens on se tappe,,,,sms,received,DEV123,IMEI0001,
sms,SM00029,2025-07-10 10:10:00,outgoing,+33600000001,+33722222222,hash_18m3,Livraison,Quel est le plan pour ce weekend ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00030,2025-07-10 10:11:00,outgoing,+33600000001,+33622223333,hash_30y5,Yann,"Bonne nuit, a demain.",,,,sms,sent,DEV123,IMEI0001,
sms,SM00035,2025-07-10 10:18:00,outgoing,+33600000001,+33618181818,hash_26u1,Alex,On garde la meme heure pour demain ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00037,2025-07-10 10:23:00,outgoing,+33600000001,+33620202020,hash_28w3,Ines,Je serai en retard d'environ 10 minutes.,,,,sms,sent,DEV123,IMEI0001,
sms,SM00040,2025-07-10 10:33:00,outgoing,+33600000001,+33613131313,hash_21p6,Clara,Tu as vu mon message concernant le projet ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00044,2025-07-10 10:41:00,incoming,+33666666666,+33600000001,hash_11f6,Sophie,"Bonne nuit, a demain.",,,,sms,received,DEV123,IMEI0001,
sms,SM00045,2025-07-10 10:42:00,outgoing,+33600000001,+33612121212,hash_17l2,Thomas,Quel est le plan pour ce weekend ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00046,2025-07-10 10:47:00,outgoing,+33600000001,+33611111111,hash_06a1,Emma Dupont,"Salut Emma Dupont, tu es dispo pour un cafe ce soir ?",,,,sms,sent,DEV123,IMEI0001,
sms,SM00048,2025-07-10 10:51:00,incoming,+33633333333,+33600000001,hash_08c3,Maman,Tu as vu mon message concernant le projet ?,,,,sms,received,DEV123,IMEI0001,
sms,SM00049,2025-07-10 10:52:00,incoming,+33611111111,+33600000001,hash_06a1,Emma Dupont,On garde la meme heure pour demain ?,,,,sms,received,DEV123,IMEI0001,
sms,SM00050,2025-07-10 10:53:00,outgoing,+33600000001,+33666666666,hash_11f6,Sophie,Quel est le plan pour ce weekend ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00052,2025-07-10 10:56:00,incoming,+33619191919,+33600000001,hash_27v2,Hugo,"Bonne nuit, a demain.",,,,sms,received,DEV123,IMEI0001,
sms,SM00055,2025-07-10 11:05:00,outgoing,+33600000001,+33616161616,hash_24s9,Marc,Peux-tu m'envoyer le document de la reunion ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00057,2025-07-10 11:08:00,incoming,+33620202020,+33600000001,hash_28w3,Ines,Tu as vu mon message concernant le projet ?,,,,sms,received,DEV123,IMEI0001,
sms,SM00058,2025-07-10 11:12:00,incoming,+33699999999,+33600000001,hash_14i9,Marine,Je reserve pour 2 personnes a 20h.,,,,sms,received,DEV123,IMEI0001,
sms,SM00064,2025-07-10 11:27:00,outgoing,+33600000001,+33700000000,hash_15j0,AgenceVoyage,Tu as vu mon message concernant le projet ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00065,2025-07-10 11:27:00,incoming,+33655555555,+33600000001,hash_10e5,Laura,"Bonne nuit, a demain.",,,,sms,received,DEV123,IMEI0001,
sms,SM00066,2025-07-10 11:28:00,outgoing,+33600000001,+33611111111,hash_06a1,Emma Dupont,Peux-tu m'envoyer le document de la reunion ?,,,,sms,sent,DEV123,IMEI0001,
sms,SM00068,2025-07-10 11:29:00,outgoing,+33600000001,+33617171717,hash_25t0,Julie,Je serai en retard d'environ 10 minutes.,,,,sms,sent,DEV123,IMEI0001,
sms,SM00072,2025-07-10 11:39:00,outgoing,+33600000001,+33733333333,hash_19n4,Taha,Je vais te retrouver et t'en mettre une pas deux,,,,sms,sent,DEV123,IMEI0001,
sms,SM00073,2025-07-10 11:42:00,incoming,+33611111111,+33600000001,hash_06a1,Emma Dupont,"Salut Emma Dupont, tu es dispo pour un cafe ce soir ?",,,,sms,received,DEV123,IMEI0001,
sms,SM00082,2025-07-10 11:57:00,outgoing,+33600000001,+33688888888,hash_13h8,Adel,Tu peux me trouver un opinel 12?.,,,,sms,sent,DEV123,IMEI0001,
