id_message,id_fil,appareil,horodatage,sens,canal,nom_contact,alias_contact,role_contact,identifiant_contact,objet_email,apercu_message,indice_lieu,pieces_jointes,types_pj,score_risque,mots_cles
msg_qeu0v0bjek0o,fil_vj2s5l4ok4,iPhone4_Gustavo_Fring,2010-01-02 00:01:09,reçu,MMS,Gale Boetticher,Gale,chimiste,gale9552@lavanderialabs.org,,Encaisse Las Cruces à caméras ; partage Dépôt de la ferme avicole / produit.,"Lavandería Brillante, Bernalillo",oui,xlsx,63,"caméras,produit"
msg_hvwu2a04xvdw,fil_udlezv7278,iPhone4_Gustavo_Fring,2010-01-02 15:55:57,reçu,MMS,Leonel Salamanca,Leonel,sicario,+52-55-5156-1293,,Rendez-vous au bureau arrière de 46. Dis que tu viens de responsable.,"Dépôt de la ferme avicole, Bernalillo",oui,jpg,36,"Madrigal,produit,responsable"
msg_i5pehbcy1c2u,fil_v62h0okxf8,iPhone4_Gustavo_Fring,2010-01-02 20:17:39,envoyé,MMS,Tyrus Kitt,Tyrus,sécurité,+1-505-3164-1571,,Itinéraire Dépôt de la ferme avicole via Quai de chargement Madrigal ; éviter le poste Quai de chargement Madrigal.,"Blanchisserie industrielle, Santa Fe",oui,mp4,37,"passeur,pureté"
msg_nifc8c2kooxj,fil_kdkh8oefoj,iPhone4_Gustavo_Fring,2010-01-02 20:58:40,envoyé,MMS,Peter Schuler,Schuler,cadre_madrigal,peter4043@madrigalcorp.com,,Nouveau Rio Rancho prêt ; Hobbs attend Entrepôt B centre-ville% de pureté.,"Lavandería Brillante, Albuquerque",non,,48,"Madrigal,expédition"
msg_wtde7sh12i9d,fil_95ymnb3wvm,iPhone4_Gustavo_Fring,2010-01-03 16:04:49,brouillon,MMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops7585@lospolloshermanos.com,,Confirme Dépôt de la ferme avicole à 92 près de Los Pollos sur Central Ave.,"Entrepôt B centre-ville, Las Cruces",non,,32,"entrepôt,lot,produit"
msg_3i0hbwiipbsb,fil_vsq0qpb5yq,iPhone4_Gustavo_Fring,2010-01-03 20:30:58,reçu,MMS,Chef de nuit du dépôt,Nuit,logistique,+1-505-8166-5609,,Le camion part de 50 ; 47 accompagne.,"Los Pollos sur Central Ave, Las Cruces",oui,mp4,52,"DEA,bleu"
msg_2ecagacg5ava,fil_jkuzd0zy0y,iPhone4_Gustavo_Fring,2010-01-04 11:33:19,reçu,MMS,Gale Boetticher,Gale,chimiste,gale875@lavanderialabs.org,,Itinéraire détruire via Dépôt de la ferme avicole ; éviter le poste Dépôt de la ferme avicole.,"Quai de chargement Madrigal, Santa Fe",non,,61,"cuisson,détruire,risque"
msg_zlx6a7k5tsl1,fil_wjbzqaaq1f,iPhone4_Gustavo_Fring,2010-01-04 15:52:50,envoyé,MMS,Marco Salamanca,Marco,sicario,+52-55-6287-1001,,Nouveau pureté prêt ; 33 attend douanes% de pureté.,"Annexe chimie universitaire, Rio Rancho",oui,pdf,59,"Los Pollos,caméras,douanes,pureté"
msg_y6hveg2g4nac,fil_rl5zg55uzg,iPhone4_Gustavo_Fring,2010-01-05 21:55:44,brouillon,MMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7431-0137,,Déplace le frontière vers 33 avant Los Pollos sur Central Ave.,"Aérogare fret 5, Los Lunas",non,,64,"Heisenberg,bleu,frontière"
msg_1yj0tvr7k2l9,fil_yqd0ft6lmp,iPhone4_Gustavo_Fring,2010-01-05 22:37:25,envoyé,MMS,Tyrus Kitt,Tyrus,sécurité,+1-505-3209-8964,,Itinéraire 72 via Los Pollos sur Central Ave ; éviter le poste caméras.,"Lavandería Brillante, Hobbs",oui,jpg,45,"blanchiment,caméras,frontière"
msg_e52m0rczgqp1,fil_6ydgtahe60,iPhone4_Gustavo_Fring,2010-01-06 07:18:03,reçu,MMS,Juan Bolsa,Bolsa,lieutenant_du_cartel,+52-81-8857-6109,,Le camion part de colis ; 70 accompagne.,"Annexe chimie universitaire, Rio Rancho",oui,mp4,43,"colis,dépôt"
msg_x36diu08dqiu,fil_aw0qcww6ph,iPhone4_Gustavo_Fring,2010-01-06 12:10:20,envoyé,MMS,Gale Boetticher,Gale,chimiste,gale3106@lavanderialabs.org,,Il me faut 10 tonnes de meth pour lundi.,"Désert – Borne 23, Rio Rancho",non,,52,"Madrigal,manifestes,passeur"
msg_f3a1wxnshf5i,fil_0kj436py3h,iPhone4_Gustavo_Fring,2010-01-06 17:00:12,reçu,MMS,Mike Ehrmantraut,Mike,exécuteur,+1-505-2989-9935,,Problème de ventilation au labo ; apporte Hobbs filtres avant brûleur.,"Désert – Borne 23, Santa Fe",oui,zip,45,"brûleur,entrepôt"
msg_3pwhujnhcqn9,fil_ueo61utaxy,iPhone4_Gustavo_Fring,2010-01-06 17:24:10,envoyé,MMS,Comptable société-écran,Comptable,finance,acct1731@phoenixholding.biz,,Retard à Los Pollos sur Central Ave ; Hobbs a vu Albuquerque près de distribution.,"Lavandería Brillante, Albuquerque",non,,47,"brûleur,distribution,laboratoire"
