id_message,id_fil,appareil,horodatage,sens,canal,nom_contact,alias_contact,role_contact,identifiant_contact,objet_email,apercu_message,indice_lieu,pieces_jointes,types_pj,score_risque,mots_cles
msg_j9k0jj9d69wj,fil_rgx5tfm6qn,iPhone4_Gustavo_Fring,2010-01-01 11:03:53,reçu,SMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops9499@lospolloshermanos.com,,Utilise le Rio Rancho et détruis l'ancien.,"Annexe chimie universitaire, Los Lunas",non,,48,"colis,responsable"
msg_xll95czkh1dx,fil_d4b7fbo14b,iPhone4_Gustavo_Fring,2010-01-01 12:50:26,envoyé,SMS,Comptable société-écran,Comptable,finance,acct5569@phoenixholding.biz,,Problème de ventilation au labo ; apporte responsable filtres avant Las Cruces.,"Blanchisserie industrielle, Albuquerque",non,,34,"blanchiment,chauffeur,responsable"
msg_plngplnbfmbt,fil_mok5nkmo5m,iPhone4_Gustavo_Fring,2010-01-01 22:44:20,envoyé,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5984-5556,,Nouveau Entrepôt B centre-ville prêt ; 35 attend 31% de pureté.,"Aérogare fret 5, Albuquerque",non,,57,"compte,dépôt,nettoyage"
msg_99f7pjbswbe6,fil_0wfz1eugw6,iPhone4_Gustavo_Fring,2010-01-02 03:40:01,envoyé,SMS,Saul Goodman,Saul,avocat,+1-505-9955-4774,,Rendez-vous au bureau arrière de Santa Fe. Dis que tu viens de Annexe chimie universitaire.,"Blanchisserie industrielle, Hobbs",non,,35,"lot,manifestes"
msg_arwyrj2vd0hj,fil_njgwl7x91k,iPhone4_Gustavo_Fring,2010-01-02 04:53:26,envoyé,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7689-2063,,Utilise le Los Pollos et détruis l'ancien.,"Aérogare fret 5, Las Cruces",non,,42,"Los Pollos,colis"
msg_nez3i2uvxpcr,fil_ilf3xappln,iPhone4_Gustavo_Fring,2010-01-02 09:53:47,reçu,SMS,Don Eladio Vuente,Eladio,chef_du_cartel,+52-33-3915-1583,,Confirme Bernalillo à cuisson près de cuisson.,"Blanchisserie industrielle, Los Lunas",non,,34,"cuisson,liquide,test"
msg_9ryfrv9m9h4p,fil_93axix1gnv,iPhone4_Gustavo_Fring,2010-01-02 18:32:21,envoyé,SMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops3809@lospolloshermanos.com,,Déplace le douanes vers 29 avant Las Cruces.,"Annexe chimie universitaire, Bernalillo",non,,55,"chauffeur,cuisson,douanes,responsable"
msg_v5eya4fzbowv,fil_rqnf06yopx,iPhone4_Gustavo_Fring,2010-01-02 20:18:20,reçu,SMS,Chef de nuit du dépôt,Nuit,logistique,+1-505-8875-7190,,Déplace le Santa Fe vers transfert avant Heisenberg.,"Los Pollos sur Central Ave, Rio Rancho",non,,54,"Heisenberg,douanes,liquide,transfert"
msg_kqc6tcu7xvi6,fil_fu7rt975n3,iPhone4_Gustavo_Fring,2010-01-02 21:22:09,reçu,SMS,Juan Bolsa,Bolsa,lieutenant_du_cartel,+52-81-8208-5488,,Déplace le 53 vers lot avant Quai de chargement Madrigal.,"Los Pollos sur Central Ave, Bernalillo",non,,40,"douanes,filature,lot,responsable"
msg_wnzh0h6kl8t5,fil_6my13m7vl9,iPhone4_Gustavo_Fring,2010-01-03 06:31:35,brouillon,SMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops6603@lospolloshermanos.com,,Utilise le laboratoire et détruis l'ancien.,"Dépôt de la ferme avicole, Hobbs",non,,49,"laboratoire,manifestes"
msg_p0k90i01x6jn,fil_gfwc2mz9s5,iPhone4_Gustavo_Fring,2010-01-03 07:50:16,envoyé,SMS,Hector Salamanca,Hector,rival,+1-505-4227-3851,,Déplace le Las Cruces vers 53 avant 86.,"Aérogare fret 5, Bernalillo",non,,39,"azul,cuisson"
msg_90porand6b9c,fil_sbrogjmd8l,iPhone4_Gustavo_Fring,2010-01-03 09:15:46,brouillon,SMS,Tyrus Kitt,Tyrus,sécurité,+1-505-3376-0458,,Problème de ventilation au labo ; apporte 87 filtres avant Entrepôt B centre-ville.,"Aérogare fret 5, Los Lunas",non,,36,"douanes,nettoyage,pureté"
msg_7kp4e6r114sc,fil_ybb1gvau0f,iPhone4_Gustavo_Fring,2010-01-03 20:44:23,brouillon,SMS,Juan Bolsa,Bolsa,lieutenant_du_cartel,+52-81-8598-7717,,Itinéraire liquide via Annexe chimie universitaire ; éviter le poste Santa Fe.,"Dépôt de la ferme avicole, Santa Fe",non,,48,"bleu,liquide,nettoyage,risque"
msg_evx3fdo4gc82,fil_1ayo8nfxzn,iPhone4_Gustavo_Fring,2010-01-03 23:56:23,reçu,SMS,Juan Bolsa,Bolsa,lieutenant_du_cartel,+52-81-8977-5797,,Encaisse Albuquerque à camion ; partage Hobbs / 51.,"Entrepôt B centre-ville, Santa Fe",non,,42,"camion,filature,lot"
msg_hvumewdp7gmg,fil_6wpzw47sq5,iPhone4_Gustavo_Fring,2010-01-04 02:50:34,envoyé,SMS,Chef de nuit du dépôt,Nuit,logistique,+1-505-8738-3510,,Retard à Aérogare fret 5 ; 83 a vu distribution près de Dépôt de la ferme avicole.,"Désert – Borne 23, Santa Fe",non,,43,"Madrigal,distribution"
msg_r215fxfw77jd,fil_3fp4j9qy2k,iPhone4_Gustavo_Fring,2010-01-04 22:50:32,reçu,SMS,Hector Salamanca,Hector,rival,+1-505-4022-5910,,Le camion part de Santa Fe ; 87 accompagne.,"Aérogare fret 5, Santa Fe",non,,45,"DEA,brûleur,douanes"
msg_4rddzd6pipl6,fil_rziqi7e598,iPhone4_Gustavo_Fring,2010-01-05 01:45:38,envoyé,SMS,Peter Schuler,Schuler,cadre_madrigal,peter1221@madrigalcorp.com,,Le camion part de entrepôt ; entrepôt accompagne.,"Los Pollos sur Central Ave, Rio Rancho",non,,37,"Los Pollos,entrepôt"
msg_bcotvzqjloni,fil_dwt4qhb4hn,iPhone4_Gustavo_Fring,2010-01-05 10:12:43,reçu,SMS,Mike Ehrmantraut,Mike,exécuteur,+1-505-2059-3605,,Itinéraire 63 via Santa Fe ; éviter le poste Bernalillo.,"Lavandería Brillante, Santa Fe",non,,34,"Madrigal,cuisson,nettoyage"
